geogname,lctgm,Ann Arbor (Mich.)--Dwellings.,Ann Arbor (Mich.),Dwellings.
geogname,lctgm,Ann Arbor (Mich.)--Industry.,Ann Arbor (Mich.),Industry.
geogname,lctgm,Ann Arbor (Mich.)--Streets.,Ann Arbor (Mich.),Streets.
geogname,lctgm,Ann Arbor (Mich.)--Business enterprises.,Ann Arbor (Mich.),Business enterprises.
geogname,lctgm,Ann Arbor (Mich.)--Churches.,Ann Arbor (Mich.),Churches.
geogname,lctgm,Ann Arbor (Mich.)--Panoramic views.,Ann Arbor (Mich.),Panoramic views.
geogname,lctgm,Ann Arbor (Mich.)--Schools.,Ann Arbor (Mich.),Schools.
geogname,lctgm,Ann Arbor (Mich.)--Buildings.,Ann Arbor (Mich.),Buildings.
geogname,lctgm,Dixboro (Mich.)--Buildings.,Dixboro (Mich.),Buildings.
geogname,lctgm,Ann Arbor (Mich.)--Demonstrations.,Ann Arbor (Mich.),Demonstrations.
geogname,lctgm,Military camps.,Military camps.
geogname,lctgm,Detroit (Mich.)--Churches.,Detroit (Mich.),Churches.
geogname,lctgm,Detroit (Mich.)--Streets.,Detroit (Mich.),Streets.
geogname,lctgm,Barry County (Mich.)--Schools.,Barry County (Mich.),Schools.
geogname,lctgm,Houghton (Mich.)--Churches.,Houghton (Mich.),Churches.
geogname,lctgm,Parades and processions--Michigan.,Parades and processions,Michigan.
geogname,lctgm,Kalamazoo (Mich.)--Business enterprises.,Kalamazoo (Mich.),Business enterprises.
geogname,lctgm,Ann Arbor (Mich.)--Mayors--1977-1985.,Ann Arbor (Mich.),Mayors,1977-1985.
geogname,lctgm,Ypsilanti (Mich.)--Dwellings.,Ypsilanti (Mich.),Dwellings.
geogname,lctgm,Ann Arbor (Mich.)--Courthouses.,Ann Arbor (Mich.),Courthouses.
geogname,lctgm,Crawford County (Mich.)--Farms.,Crawford County (Mich.),Farms.
geogname,lctgm,Pasadena (Calif.)--Dwellings.,Pasadena (Calif.),Dwellings.
geogname,lctgm,Grand Rapids (Mich.)--Churches.,Grand Rapids (Mich.),Churches.
