geogname,lctgm,Ann Arbor (Mich.)--Dwellings.,Ann Arbor (Mich.),geographic,Dwellings.,topical
geogname,lctgm,Ann Arbor (Mich.)--Industry.,Ann Arbor (Mich.),geographic,Industry.,topical
geogname,lctgm,Ann Arbor (Mich.)--Streets.,Ann Arbor (Mich.),geographic,Streets.,topical
geogname,lctgm,Ann Arbor (Mich.)--Business enterprises.,Ann Arbor (Mich.),geographic,Business enterprises.,topical
geogname,lctgm,Ann Arbor (Mich.)--Churches.,Ann Arbor (Mich.),geographic,Churches.,topical
geogname,lctgm,Ann Arbor (Mich.)--Panoramic views.,Ann Arbor (Mich.),geographic,Panoramic views.,genre_form
geogname,lctgm,Ann Arbor (Mich.)--Schools.,Ann Arbor (Mich.),geographic,Schools.,topical
geogname,lctgm,Ann Arbor (Mich.)--Buildings.,Ann Arbor (Mich.),geographic,Buildings.,topical
geogname,lctgm,Dixboro (Mich.)--Buildings.,Dixboro (Mich.),geographic,Buildings.,topical
geogname,lctgm,Ann Arbor (Mich.)--Demonstrations.,Ann Arbor (Mich.),geographic,Demonstrations.,topical
geogname,lctgm,Military camps.,Military camps.,geographic
geogname,lctgm,Detroit (Mich.)--Churches.,Detroit (Mich.),geographic,Churches.,topical
geogname,lctgm,Detroit (Mich.)--Streets.,Detroit (Mich.),geographic,Streets.,topical
geogname,lctgm,Barry County (Mich.)--Schools.,Barry County (Mich.),geographic,Schools.,topical
geogname,lctgm,Houghton (Mich.)--Churches.,Houghton (Mich.),geographic,Churches.,topical
geogname,lctgm,Parades and processions--Michigan.,Parades and processions,geographic,Michigan.,geographic
geogname,lctgm,Kalamazoo (Mich.)--Business enterprises.,Kalamazoo (Mich.),geographic,Business enterprises.,topical
geogname,lctgm,Ann Arbor (Mich.)--Mayors--1977-1985.,Ann Arbor (Mich.),geographic,Mayors,topical,1977-1985.,temporal
geogname,lctgm,Ypsilanti (Mich.)--Dwellings.,Ypsilanti (Mich.),geographic,Dwellings.,topical
geogname,lctgm,Ann Arbor (Mich.)--Courthouses.,Ann Arbor (Mich.),geographic,Courthouses.,topical
geogname,lctgm,Crawford County (Mich.)--Farms.,Crawford County (Mich.),geographic,Farms.,topical
geogname,lctgm,Pasadena (Calif.)--Dwellings.,Pasadena (Calif.),geographic,Dwellings.,topical
geogname,lctgm,Grand Rapids (Mich.)--Churches.,Grand Rapids (Mich.),geographic,Churches.,topical
geogname,lctgm,Grandville (Mich.)--Churches.,Grandville (Mich.),geographic,Churches.,topical
geogname,lctgm,Grandville (Mich.)--Dwellings.,Grandville (Mich.),geographic,Dwellings.,topical
geogname,lctgm,Grandville (Mich.)--Streets.,Grandville (Mich.),geographic,Streets.,topical
geogname,lctgm,"Ann Arbor (Mich.)--Buildings, structures, etc.",Ann Arbor (Mich.),geographic,"Buildings, structures, etc.",topical
geogname,lctgm,Saginaw (Mich.)--Law offices.,Saginaw (Mich.),geographic,Law offices.,topical
