Name,LCNAF Heading,LC Record Link
"Abbitt, W. H.",,
"Abbot, Henry L. (Henry Larcom), 1831-1927.","Abbot, Henry L.",http://id.loc.gov/authorities/names/n85207541
"Abbott, Bud.","Abbott, Bud, 1895-1974",http://id.loc.gov/authorities/names/n81083801
"Abbott, James.","Whistler, James McNeill, 1834-1903",http://id.loc.gov/authorities/names/n79032293
"Abbott, Leonard Dalton, 1878-1953.","Abbott, Leonard Dalton, 1878-1953",http://id.loc.gov/authorities/names/n93027067
"Abbott, Nathan, 1854-1941.","Abbott, Nathan, 1854-1941",http://id.loc.gov/authorities/names/n85248290
"Abbott, Sidney D., b. 1826.",,
"Aberbach, Joel D.","Aberbach, Joel D.",http://id.loc.gov/authorities/names/n81028152
"Abernethy, Alonzo, 1836-1915.",,
"Abraham, Nabeel.","Abraham, Nabeel",http://id.loc.gov/authorities/names/n82042224
"Abu Ayn, Ziyad.","Abū ʻAyn, Ziyād",http://id.loc.gov/authorities/names/n91063968
"Acheson, Phyllis.",,
"Achilles, Theodore C. (Theodore Carter), 1905-","Achilles, Theodore C. (Theodore Carter), 1905-1986",http://id.loc.gov/authorities/names/n90647223
"Adami, J. George (John George), 1862-1926.","Adami, J. George (John George), 1862-1926",http://id.loc.gov/authorities/names/n85801217
"Adamic, Louis, 1899-1951.","Adamic, Louis, 1899-1951",http://id.loc.gov/authorities/names/n50036829
"Adams, Adeline Valentine Pond, d. 1948.",,
"Adams, Charles C. (Charles Christopher), 1873-1955.","Adams, Charles C. (Charles Christopher), 1873-1955",http://id.loc.gov/authorities/names/n87101285
"Adams, Charles Francis, 1835-1915.","Adams, Charles Francis, 1835-1915",http://id.loc.gov/authorities/names/n50036838
"Adams, Charles Francis, 1866-1954.","Adams, Charles F. (Charles Francis), 1866-1954",http://id.loc.gov/authorities/names/n94101860
"Adams, Edward Francis, 1839-1939.",,
"Adams, Evyn.",,
"Adams, George Plimpton, 1882-1961.","Adams, George Plimpton, 1882-1961",http://id.loc.gov/authorities/names/n82253251
"Adams, Henry Foster.","Adams, Henry Foster",http://id.loc.gov/authorities/names/n85058461
"Adams, Herbert, 1858-1945.","Adams, Herbert, 1858-1945",http://id.loc.gov/authorities/names/nr89014346
"Adams, John Quincy, 1767-1848.","Adams, John Quincy, 1767-1848",http://id.loc.gov/authorities/names/n79140988
"Adams, R. C.","Adams, Charles R., 1834-1900",http://id.loc.gov/authorities/names/nr98010253
"Adams, Wilbur Christopher.",,
"Adamus, Greg.",,
"Adamus, Stanley, 1922-1988.",,
"Adel, Arthur, 1908-","Adel, Arthur, 1908-1994",http://id.loc.gov/authorities/names/no2007087183
"Adenauer, Konrad, 1876-1967.","Adenauer, Konrad, 1876-1967",http://id.loc.gov/authorities/names/n80060444
"Adenauer, Paul.","Adenauer, Konrad, 1876-1967",http://id.loc.gov/authorities/names/n80060444
"Adler, Felix, 1851-1933.","Adler, Felix, 1851-1933",http://id.loc.gov/authorities/names/n79082242
"Adler, O.","Adler, Jacob, 1913-",http://id.loc.gov/authorities/names/n85135732
"Aga-Oglu, Mehmet, 1896-","Aga-Oglu, Mehmet, 1896-1949",http://id.loc.gov/authorities/names/n87808323
"Agasid, Napoleon.",,
"Agassiz, Louis, 1807-1873.","Agassiz, Louis, 1807-1873",http://id.loc.gov/authorities/names/n50041821
"Agassiz, Mabel.",,
"Agranoff, Bernard W., 1926-","Agranoff, Bernard W., 1926-",http://id.loc.gov/authorities/names/n79126356
"Aherne, Brian.","Aherne, Brian",http://id.loc.gov/authorities/names/n85138108
"Aiken, Paul C., 1910-","Aiken, Paul C., 1910-1974",http://id.loc.gov/authorities/names/n99270662
"Ainsworth, Arthur Sardius, 1862-",,
"Akers, Elmer, 1899-",,
"Akihito, Crown Prince, son of Hirohito, Emperor of Japan, 1933-",,
"Akil, H. Huda.","Akil, H. (Huda)",http://id.loc.gov/authorities/names/n87894814
"Aldrich, J. Frank.",,
"Aldrich, R. J.","Aldrich, R. J. (Richard J.), 1925-",http://id.loc.gov/authorities/names/n82215672
"Alexander, John, 1891-","Macdonald, John Alexander, Sir, 1815-1891",http://id.loc.gov/authorities/names/n50041960
"Alexander, William, 1938-","Hammond, William A. (William Alexander), 1861-1938",http://id.loc.gov/authorities/names/no2001073149
"Ali, Muhammad, 1942-","Ali, Muhammad, 1942-",http://id.loc.gov/authorities/names/n79054611
"Allen, Ada.","Allen, Ada (Singer)",http://id.loc.gov/authorities/names/n2014009941
"Allen, Devere, 1891-1955.","Allen, Devere, 1891-1955",http://id.loc.gov/authorities/names/n50041041
"Allen, Frances Alfred, 1919-",,
"Allen, Francis Alfred, 1919-",,
"Allen, Frederick Lewis, 1890-1954.","Allen, Frederick Lewis, 1890-1954",http://id.loc.gov/authorities/names/n50034529
"Allen, Glenn S., 1914-2001.","Allen, Glenn S., 1914-2001",http://id.loc.gov/authorities/names/no2008133142
"Allen, Glover Morrill, 1879-1942.","Allen, Glover M. (Glover Morrill), 1879-1942",http://id.loc.gov/authorities/names/no98077497
"Allen, Hugh Pitzer, 1882-",,
"Allen, Irwin, 1916-","Allen, Irwin, 1916-1991",http://id.loc.gov/authorities/names/n95004265
"Allen, J. A. (Joel Asaph), 1838-1921.","Allen, J. A. (Joel Asaph), 1838-1921",http://id.loc.gov/authorities/names/n50036582
