Name,LCNAF Heading,LC Record Link
"Congregational Church (Stanton, Mich.)",,
"Congregational Church Parsonage (Iroquois, Mich.)",,
"Congregational Church Parsonage (Vienna, Mich.)",,
Congressional Union for Woman Suffrage (U.S.),National Woman's Party,http://id.loc.gov/authorities/names/n80132296
Congress of Industrial Organizations (U.S.),AFL-CIO,http://id.loc.gov/authorities/names/n79086831
Congress of Racial Equality.,Congress of Racial Equality,http://id.loc.gov/authorities/names/n80080481
Congress of Racial Equality. Detroit (Mich.),,
"Conklin House (Ypsilanti, Mich.)",,
Connecticut Woman Suffrage Association.,Connecticut Woman Suffrage Association,http://id.loc.gov/authorities/names/n2012021659
Conservation Foundation.,"International Working-Party for Documentation and Conservation of Buildings, Sites and Neighbourhoods of the Modern Movement",http://id.loc.gov/authorities/names/no93011852
Construction Innovation Forum.,,
Consumers League of Michigan.,,
Consumers Power Company.,Northern States Power Company (Minnesota),http://id.loc.gov/authorities/names/n82119645
Cooley Electronics Laboratory.,Cooley Electronics Laboratory,http://id.loc.gov/authorities/names/n83061350
"Cooley High School (Detroit, Mich.)",,
Cooperative Electrical Development.,,
Cooperative League of the U.S.A.,Cooperative League of the U.S.A.,http://id.loc.gov/authorities/names/n80087505
Copper Range Company.,Copper Range Railroad Company,http://id.loc.gov/authorities/names/n89118800
Core Technology Alliance.,,
Cornell University.,Cornell University,http://id.loc.gov/authorities/names/n79021621
Cornerstone Alliance (Organization),,
"Corning Municipal Fire Station (Corning, N.Y.)",,
Corning Museum of Glass.,Corning Museum of Glass,http://id.loc.gov/authorities/names/n79079588
corpname.,,
Corporation for Enterprise Development.,Corporation for Enterprise Development,http://id.loc.gov/authorities/names/n82069721
Corporation for Public Broadcasting.,Corporation for Public Broadcasting,http://id.loc.gov/authorities/names/n79032200
Corporation for Research and Educational Networking.,,
"Corson's Cozy Corner Saloon (Ann Arbor, Mich.)",,
Corunna High School (Mich.),,
Cosmopolitan Club (University of Michigan),,
"Cosmos Club (Washington, D.C.)","Cosmos Club (Washington, D.C.)",http://id.loc.gov/authorities/names/n79039828
"Cottage Hospital (Grosse Pointe Farms, Mich.)",,
Council About Parochiaid.,,
Council for Advancement and Support of Education.,Council for Advancement and Support of Education,http://id.loc.gov/authorities/names/n80005641
Council for Exceptional Children.,Council for Exceptional Children,http://id.loc.gov/authorities/names/n79049259
Council for Exceptional Children. Michigan Federation Chapters.,,
Council of Economic Advisers (U.S.),Council of Economic Advisers (U.S.),http://id.loc.gov/authorities/names/n81036048
Council of Great Lakes Industries.,,
Council of Islamic Organizations in Michigan.,,
Council of Ten.,Venice (Republic : To 1797). Consiglio dei Dieci,http://id.loc.gov/authorities/names/nr93025928
Council on Adoptable Children.,North American Council on Adoptable Children,http://id.loc.gov/authorities/names/n84026219
Council on American-Islamic Relations Michigan Chapter.,,
Council on Library Resources.,Council on Library and Information Resources,http://id.loc.gov/authorities/names/no97071763
Couzens Hall (University of Michigan),,
Covalt (Ship),,
"Cranbrook (Bloomfield Hills, Mich.)",Cranbrook Academy of Art. Museum,http://id.loc.gov/authorities/names/n80007790
Cranbrook Institute of Science.,Cranbrook Institute of Science,http://id.loc.gov/authorities/names/n50017138
Cranbrook Peace Foundation.,,
"Cranbrook School (Bloomfield Hills, Mich.)","Cranbrook Kingswood School (Bloomfield Hills, Mich.)",http://id.loc.gov/authorities/names/n86042063
Crawford and Manistee River Railway Company.,,
"Crawford Grange, No. 934 (Crawford County, Mich.)",,
Creation Research Society.,Creation Research Society,http://id.loc.gov/authorities/names/n50059465
Creative Responses to Conflict (Organization),,
Creekside Community Development Corporation.,,
Crisler Arena (University of Michigan),,
"Cross of Glory Lutheran Church (Detroit, Mich.)",,
Crusade for Freedom.,Free Europe Committee,http://id.loc.gov/authorities/names/n80102044
Culver Military Academy.,Culver Military Academy,http://id.loc.gov/authorities/names/n84212687
Cummer-Diggins Company.,,
Cummer Lumber Company.,,
Cummer Sons Cypress Company.,,
Cunningham's Drug Stores (Mich.),,
"Cusic Lake Grange, No. 1728 (Macomb County, Mich.)",,
Custer National Monument Association.,,
Cutler   Savidge Lumber Company.,,
Cypress Mountain.,,
D. Appleton and Company.,D. Appleton and Company,http://id.loc.gov/authorities/names/n81038527
"D.M. Silkworth Oil Co. (Ypsilanti, Mich.)",,
D.N. McLeod Lumber Company.,,
Dahlstrom and Schmitz.,,
Dalgleish Cadillac.,,
Dance Gallery Studio.,,
Dance Instructional Facility (State University of New York College at Purchase),,
"Danforth House (Ann Arbor, Mich.)",,
Daniel Guggenheim Fund for the Promotion of Aeronautics.,Daniel Guggenheim Fund for the Promotion of Aeronautics,http://id.loc.gov/authorities/names/n89103785
"Dannebrog Lutheran Church (Greenville, Mich.)",,
Dansk Soldaterforening Michigan.,,
Dartmouth College.,Hood Museum of Art,http://id.loc.gov/authorities/names/n82023126
Dartmouth College. College Naturalist.,,
Darwin Centennial Celebration (1959 : University of Chicago),"<?xml version=""1.0"" encoding=""UTF-8""?> <mx:record xmlns=""http://www.w3.org/TR/xhtml1/strict"" xmlns:mx=""http://www.loc.gov/MARC21/slim""> <mx:leader>00000cz a2200037n 45 0</mx:leader> <mx:controlfield tag=""001"">LC|n 91127240</mx:controlfield> <mx:controlfield tag=""005"">20120810084016.0</mx:controlfield> <mx:controlfield tag=""008"">911218n| acannaab |a ana </mx:controlfield> <mx:controlfield tag=""003"">LC</mx:controlfield> <mx:datafield ind1="" "" ind2="" "" tag=""035""> <mx:subfield code=""a"">(LC)2802579</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""010""> <mx:subfield code=""a"">n 91127240</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""035""> <mx:subfield code=""a"">(DLC)n 91127240</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""035""> <mx:subfield code=""a"">(DLC)3544473</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""040""> <mx:subfield code=""a"">DLC</mx:subfield> <mx:subfield code=""b"">eng</mx:subfield> <mx:subfield code=""c"">DLC</mx:subfield> <mx:subfield code=""d"">DLC</mx:subfield> </mx:datafield> <mx:datafield ind1=""2"" ind2="" "" tag=""111""> <mx:subfield code=""a"">Darwin Centennial Celebration</mx:subfield> <mx:subfield code=""d"">(1959 :</mx:subfield> <mx:subfield code=""c"">University of Chicago)</mx:subfield> </mx:datafield> <mx:datafield ind1=""2"" ind2="" "" tag=""411""> <mx:subfield code=""a"">University of Chicago Darwin Centennial Celebration</mx:subfield> <mx:subfield code=""d"">(1959)</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""667""> <mx:subfield code=""a"">THIS 1XX FIELD CANNOT BE USED UNDER RDA UNTIL THIS RECORD HAS BEEN REVIEWED AND/OR UPDATED</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""670""> <mx:subfield code=""a"">NUCMC data from Rice University Library for Huxley, J. Papers, 1899-1980</mx:subfield> <mx:subfield code=""b"">(Darwin Centennial Celebration 1959)</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""670""> <mx:subfield code=""a"">LC data base, 12/18/91</mx:subfield> <mx:subfield code=""b"">(University of Chicago Darwin centennial celebration; 1959)</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""998""> <mx:subfield code=""a"">Darwin centennial celebration</mx:subfield> <mx:subfield code=""f"">1959</mx:subfield> <mx:subfield code=""e"">Chicago, Ill.</mx:subfield> <mx:subfield code=""2"">BNF|12383757</mx:subfield> <mx:subfield code=""3"">corpNameNGram</mx:subfield> </mx:datafield> </mx:record>",http://id.loc.gov/authorities/names/n91127240
Daughters of the American Revolution.,Daughters of the American Revolution,http://id.loc.gov/authorities/names/n79006441
"Daughters of the American Revolution. Elizabeth Cass Chapter (Grosse Pointe Farms, Mich.)",,
"Daughters of the American Revolution. Fort Pontchartrain Chapter (Highland Park, Mich.)",,
"Daughters of the American Revolution. Fort Pontchartrain-Elizabeth Cass Chapter (Grosse Pointe Farms, Mich.)",,
Daughters of the American Revolution. National Defense Committee.,Daughters of the American Revolution. National Defense Committee,http://id.loc.gov/authorities/names/no2011045745
"Daughters of the American Revolution. Philip Livingston Chapter (Howell, Mich.)","Daughters of the American Revolution. Philip Livingston Chapter (Howell, Mich.)",http://id.loc.gov/authorities/names/n2009039654
"Daughters of the American Revolution. Sarah Caswell Angell Chapter (Ann Arbor, Mich.)",,
"Daughters of the American Revolution. Ypsilanti Chapter (Ypsilanti, Mich.)",,
Daughters of the American Revolution of Michigan.,,
Dave Clark Five (Musical group),Dave Clark Five (Musical group),http://id.loc.gov/authorities/names/n93098098
"Davis Grange, No. 1199 (Macomb County, Mich.)",,
"Davison Grange, No. 1285 (Genesee County, Mich.)",,
"Dav-Joy-Lin-Dex Community Council (Detroit, Mich.)",,
Debs Memorial Radio Fund.,,
Deceleco Corporation.,,
"Deckerville Chapel (Bridgehampton, Mich.)",,
Defend Affirmative Action Party (University of Michigan),,
"Defiance Hook and Ladder Company, No. 1 (Ann Arbor, Mich.)",,
Dekers Blue Line Club.,,
DeKorne Furniture Company.,,
"Delafield Childs, Inc.",,
Delta Chi Fraternity. University of Michigan Chapter.,,
Delta College.,Delta College,http://id.loc.gov/authorities/names/n50065946
Delta Kappa Epsilon. Omicron Chapter (University of Michigan),Delta Kappa Epsilon. Omicron Chapter (University of Michigan),http://id.loc.gov/authorities/names/nr99003347
Delta Omega. Delta Chapter (University of Michigan),,
Delta Pi Epsilon. Kappa Chapter (University of Michigan),,
Delta Sigma Delta.,Society of Professional Journalists (U.S.),http://id.loc.gov/authorities/names/n91096872
Delta Sigma Delta. Alpha Chapter (University of Michigan),,
Delta Sigma Nu (Ann Arbor High School),,
Delta Tau Delta Fraternity. University of Michigan Chapter.,,
Delta Upsilon Fraternity. University of Michigan Chapter.,,
"Demmon House (Ann Arbor, Mich.)",,
Democracy Unlimited (Organization),American Youth for Political Action,http://id.loc.gov/authorities/names/no2002004204
Democratic National Committee (U.S.),Democratic National Committee (U.S.),http://id.loc.gov/authorities/names/n81133513
Democratic National Committee (U.S.). Women's Division.,Democratic National Committee (U.S.). Women's Division,http://id.loc.gov/authorities/names/n91069014
"Democratic National Convention (1880 : Cincinnati, Ohio)",,
Democratic National Convention (1952 : Chicago),,
Democratic National Convention (1956 : Chicago),,
Democratic National Convention (1960 : Los Angeles),,
"Democratic National Convention (1964 : Atlantic City, N.J.)","<?xml version=""1.0"" encoding=""UTF-8""?> <mx:record xmlns=""http://www.w3.org/TR/xhtml1/strict"" xmlns:mx=""http://www.loc.gov/MARC21/slim""> <mx:leader>00000cz a2200037n 45 0</mx:leader> <mx:controlfield tag=""001"">LC|n 2011052025</mx:controlfield> <mx:controlfield tag=""005"">20150114070539.0</mx:controlfield> <mx:controlfield tag=""008"">110802n| azannaabn |n ana </mx:controlfield> <mx:controlfield tag=""003"">LC</mx:controlfield> <mx:datafield ind1="" "" ind2="" "" tag=""035""> <mx:subfield code=""a"">(LC)8728969</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""010""> <mx:subfield code=""a"">n 2011052025</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""035""> <mx:subfield code=""a"">(DLC)8721241</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""035""> <mx:subfield code=""a"">(DLC)n 2011052025</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""040""> <mx:subfield code=""a"">DLC</mx:subfield> <mx:subfield code=""b"">eng</mx:subfield> <mx:subfield code=""c"">DLC</mx:subfield> <mx:subfield code=""e"">rda</mx:subfield> <mx:subfield code=""d"">DLC</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""046""> <mx:subfield code=""s"">1964</mx:subfield> </mx:datafield> <mx:datafield ind1=""2"" ind2="" "" tag=""111""> <mx:subfield code=""a"">Democratic National Convention</mx:subfield> <mx:subfield code=""d"">(1964 :</mx:subfield> <mx:subfield code=""c"">Atlantic City, N.J.)</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""670""> <mx:subfield code=""a"">Library of Congress Manuscript Division for the Harold Leventhal papers, 1932-80</mx:subfield> <mx:subfield code=""b"">(Democratic National Convention; held in 1964, Atlantic City, N.J.)</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""903""> <mx:subfield code=""a"">75303797</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""903""> <mx:subfield code=""a"">68054874</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""903""> <mx:subfield code=""a"">66054959</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""910""> <mx:subfield code=""a"">1nation1peopledemocraticplatform1964</mx:subfield> <mx:subfield code=""A"">One nation, one people :</mx:subfield> <mx:subfield code=""b"">Democratic platform, 1964 /</mx:subfield> <mx:subfield code=""l"">eng</mx:subfield> <mx:subfield code=""9"">2</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""910""> <mx:subfield code=""a"">officialreportoftheproceedingsofthedemocraticnationalconventionresultinginthenominationoflyndonbjohnsonoftexasforpresidentandinthenominationofhuberthhumphreyofminnesotaforvicepresident</mx:subfield> <mx:subfield code=""A"">Official report of the proceedings of the Democratic National Convention, resulting in the nomination of Lyndon B. Johnson of Texas for President, and in the nomination of Hubert H. Humphrey of Minnesota for Vice President.</mx:subfield> <mx:subfield code=""l"">eng</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""922""> <mx:subfield code=""a"">nju</mx:subfield> <mx:subfield code=""b"">us</mx:subfield> <mx:subfield code=""9"">2</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""922""> <mx:subfield code=""a"">dcu</mx:subfield> <mx:subfield code=""b"">us</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""940""> <mx:subfield code=""a"">eng</mx:subfield> <mx:subfield code=""9"">3</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""942""> <mx:subfield code=""a"">JK2313 1964</mx:subfield> <mx:subfield code=""9"">3</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""943""> <mx:subfield code=""a"">196x</mx:subfield> <mx:subfield code=""9"">3</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""944""> <mx:subfield code=""a"">am</mx:subfield> <mx:subfield code=""9"">2</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""944""> <mx:subfield code=""a"">dm</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""951""> <mx:subfield code=""a"">democratic national committee u s</mx:subfield> <mx:subfield code=""A"">Democratic National Committee (U.S.)</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""955""> <mx:subfield code=""a"">cannon clarence</mx:subfield> <mx:subfield code=""A"">Cannon, Clarence,</mx:subfield> <mx:subfield code=""d"">1879-1964.</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""955""> <mx:subfield code=""a"">democratic party national committee 1960 1964</mx:subfield> <mx:subfield code=""A"">Democratic Party.</mx:subfield> <mx:subfield code=""b"">National Committee, 1960-1964.</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""955""> <mx:subfield code=""a"">leffler warren k</mx:subfield> <mx:subfield code=""A"">Leffler, Warren K.,</mx:subfield> <mx:subfield code=""9"">23</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""955""> <mx:subfield code=""a"">democratic national convention 1964 atlantic city n j</mx:subfield> <mx:subfield code=""A"">Democratic National Convention</mx:subfield> <mx:subfield code=""d"">(1964 :</mx:subfield> <mx:subfield code=""c"">Atlantic City, N.J.)</mx:subfield> <mx:subfield code=""9"">2</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""955""> <mx:subfield code=""a"">todd lisa anderson</mx:subfield> <mx:subfield code=""A"">Todd, Lisa Anderson,</mx:subfield> <mx:subfield code=""d"">1942-</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""955""> <mx:subfield code=""a"">ohalloran thomas j</mx:subfield> <mx:subfield code=""A"">O'Halloran, Thomas J.,</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""955""> <mx:subfield code=""a"">leventhal harold</mx:subfield> <mx:subfield code=""A"">Leventhal, Harold,</mx:subfield> <mx:subfield code=""d"">1915-1979.</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""955""> <mx:subfield code=""a"">democratic national committee u s</mx:subfield> <mx:subfield code=""A"">Democratic National Committee (U.S.)</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""955""> <mx:subfield code=""a"">skipper john c</mx:subfield> <mx:subfield code=""A"">Skipper, John C.,</mx:subfield> <mx:subfield code=""d"">1945-</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""960""> <mx:subfield code=""a"">democratic national convention 1964 atlantic city n j</mx:subfield> <mx:subfield code=""A"">Democratic National Convention</mx:subfield> <mx:subfield code=""d"">(1964 :</mx:subfield> <mx:subfield code=""c"">Atlantic City, N.J.)</mx:subfield> <mx:subfield code=""9"">2</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""960""> <mx:subfield code=""a"">democratic national convention</mx:subfield> <mx:subfield code=""A"">Democratic National Convention.</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""969""> <mx:subfield code=""a"">subject</mx:subfield> <mx:subfield code=""9"">36</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2014645549</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2012008464</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2014645503</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2014645502</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2014645501</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2014645507</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2011645482</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2014645505</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2011645480</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2014645521</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2014645520</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2014645509</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2014645508</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2014645524</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|mm 81059162</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|66054959</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2014645522</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2011645481</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2014024127</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|68054874</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2014645510</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2014645511</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2014645512</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2014645513</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2014645514</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2014645515</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2014645516</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2014645517</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2014645518</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2014645519</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2014645523</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|64004599</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|75303797</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2011645476</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2011645477</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2011645478</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""999""> <mx:subfield code=""2"">LCBIB|2011645479</mx:subfield> </mx:datafield> </mx:record>",http://id.loc.gov/authorities/names/n2011052025
